target,location,truth_date,year_week,value
hospital admissions,EE,2023-12-03,2023-W48,116
hospital admissions,EE,2023-11-26,2023-W47,121
hospital admissions,EE,2023-11-19,2023-W46,112
hospital admissions,EE,2023-11-12,2023-W45,78
hospital admissions,EE,2023-11-05,2023-W44,149
hospital admissions,EE,2023-10-29,2023-W43,86
hospital admissions,EE,2023-10-22,2023-W42,42
hospital admissions,EE,2023-10-15,2023-W41,21
hospital admissions,EE,2023-10-08,2023-W40,21
hospital admissions,EE,2023-10-01,2023-W39,26
hospital admissions,EE,2023-09-24,2023-W38,20
hospital admissions,EE,2023-09-17,2023-W37,28
hospital admissions,EE,2023-09-10,2023-W36,17
hospital admissions,EE,2023-09-03,2023-W35,19
hospital admissions,EE,2023-08-27,2023-W34,6
hospital admissions,EE,2023-08-20,2023-W33,5
hospital admissions,EE,2023-08-13,2023-W32,6
hospital admissions,EE,2023-08-06,2023-W31,10
hospital admissions,EE,2023-07-30,2023-W30,9
hospital admissions,EE,2023-07-23,2023-W29,9
hospital admissions,EE,2023-07-16,2023-W28,13
hospital admissions,EE,2023-07-09,2023-W27,6
hospital admissions,EE,2023-07-02,2023-W26,9
hospital admissions,EE,2023-06-25,2023-W25,15
hospital admissions,EE,2023-06-18,2023-W24,14
hospital admissions,EE,2023-06-11,2023-W23,29
hospital admissions,EE,2023-06-04,2023-W22,32
hospital admissions,EE,2023-05-28,2023-W21,38
hospital admissions,EE,2023-05-21,2023-W20,40
hospital admissions,EE,2023-05-14,2023-W19,80
hospital admissions,EE,2023-05-07,2023-W18,53
hospital admissions,EE,2023-04-30,2023-W17,98
hospital admissions,EE,2023-04-23,2023-W16,143
hospital admissions,EE,2023-04-16,2023-W15,112
hospital admissions,EE,2023-04-09,2023-W14,145
hospital admissions,EE,2023-04-02,2023-W13,163
hospital admissions,EE,2023-03-26,2023-W12,132
hospital admissions,EE,2023-03-19,2023-W11,115
hospital admissions,EE,2023-03-12,2023-W10,100
hospital admissions,EE,2023-03-05,2023-W09,120
hospital admissions,EE,2023-02-26,2023-W08,115
hospital admissions,EE,2023-02-19,2023-W07,108
hospital admissions,EE,2023-02-12,2023-W06,113
hospital admissions,EE,2023-02-05,2023-W05,109
hospital admissions,EE,2023-01-29,2023-W04,132
hospital admissions,EE,2023-01-22,2023-W03,108
hospital admissions,EE,2023-01-15,2023-W02,136
hospital admissions,EE,2023-01-08,2023-W01,149
hospital admissions,EE,2023-01-01,2022-W52,235
hospital admissions,EE,2022-12-25,2022-W51,245
hospital admissions,EE,2022-12-18,2022-W50,260
hospital admissions,EE,2022-12-11,2022-W49,232
hospital admissions,EE,2022-12-04,2022-W48,190
hospital admissions,EE,2022-11-27,2022-W47,161
hospital admissions,EE,2022-11-20,2022-W46,164
hospital admissions,EE,2022-11-13,2022-W45,164
hospital admissions,EE,2022-11-06,2022-W44,179
hospital admissions,EE,2022-10-30,2022-W43,174
hospital admissions,EE,2022-10-23,2022-W42,218
hospital admissions,EE,2022-10-16,2022-W41,176
hospital admissions,EE,2022-10-09,2022-W40,201
hospital admissions,EE,2022-10-02,2022-W39,150
hospital admissions,EE,2022-09-25,2022-W38,150
hospital admissions,EE,2022-09-18,2022-W37,150
hospital admissions,EE,2022-09-11,2022-W36,101
hospital admissions,EE,2022-09-04,2022-W35,75
hospital admissions,EE,2022-08-28,2022-W34,95
hospital admissions,EE,2022-08-21,2022-W33,90
hospital admissions,EE,2022-08-14,2022-W32,129
hospital admissions,EE,2022-08-07,2022-W31,122
hospital admissions,EE,2022-07-31,2022-W30,143
hospital admissions,EE,2022-07-24,2022-W29,117
hospital admissions,EE,2022-07-17,2022-W28,97
hospital admissions,EE,2022-07-10,2022-W27,79
hospital admissions,EE,2022-07-03,2022-W26,97
hospital admissions,EE,2022-06-26,2022-W25,80
hospital admissions,EE,2022-06-19,2022-W24,64
hospital admissions,EE,2022-06-12,2022-W23,59
hospital admissions,EE,2022-06-05,2022-W22,76
hospital admissions,EE,2022-05-29,2022-W21,83
hospital admissions,EE,2022-05-22,2022-W20,81
hospital admissions,EE,2022-05-15,2022-W19,98
hospital admissions,EE,2022-05-08,2022-W18,132
hospital admissions,EE,2022-05-01,2022-W17,110
hospital admissions,EE,2022-04-24,2022-W16,141
hospital admissions,EE,2022-04-17,2022-W15,135
hospital admissions,EE,2022-04-10,2022-W14,247
hospital admissions,EE,2022-04-03,2022-W13,240
hospital admissions,EE,2022-03-27,2022-W12,342
hospital admissions,EE,2022-03-20,2022-W11,346
hospital admissions,EE,2022-03-13,2022-W10,496
hospital admissions,EE,2022-03-06,2022-W09,549
hospital admissions,EE,2022-02-27,2022-W08,565
hospital admissions,EE,2022-02-20,2022-W07,609
hospital admissions,EE,2022-02-13,2022-W06,485
hospital admissions,EE,2022-02-06,2022-W05,369
hospital admissions,EE,2022-01-30,2022-W04,319
hospital admissions,EE,2022-01-23,2022-W03,277
hospital admissions,EE,2022-01-16,2022-W02,260
hospital admissions,EE,2022-01-09,2022-W01,197
hospital admissions,EE,2022-01-02,2021-W52,161
hospital admissions,EE,2021-12-26,2021-W51,180
hospital admissions,EE,2021-12-19,2021-W50,173
hospital admissions,EE,2021-12-12,2021-W49,222
hospital admissions,EE,2021-12-05,2021-W48,150
hospital admissions,EE,2021-11-28,2021-W47,205
hospital admissions,EE,2021-11-21,2021-W46,256
hospital admissions,EE,2021-11-14,2021-W45,367
hospital admissions,EE,2021-10-31,2021-W43,460
hospital admissions,EE,2021-10-24,2021-W42,429
hospital admissions,EE,2021-10-17,2021-W41,348
hospital admissions,EE,2021-10-10,2021-W40,242
hospital admissions,EE,2021-10-03,2021-W39,199
hospital admissions,EE,2021-09-26,2021-W38,148
hospital admissions,EE,2021-09-19,2021-W37,134
hospital admissions,EE,2021-09-12,2021-W36,144
hospital admissions,EE,2021-09-05,2021-W35,115
hospital admissions,EE,2021-08-29,2021-W34,112
hospital admissions,EE,2021-08-22,2021-W33,69
hospital admissions,EE,2021-08-15,2021-W32,67
hospital admissions,EE,2021-08-08,2021-W31,48
hospital admissions,EE,2021-08-01,2021-W30,42
hospital admissions,EE,2021-07-25,2021-W29,29
hospital admissions,EE,2021-07-18,2021-W28,16
hospital admissions,EE,2021-07-11,2021-W27,22
hospital admissions,EE,2021-07-04,2021-W26,17
hospital admissions,EE,2021-06-27,2021-W25,24
hospital admissions,EE,2021-06-20,2021-W24,40
hospital admissions,EE,2021-06-13,2021-W23,41
hospital admissions,EE,2021-06-06,2021-W22,47
hospital admissions,EE,2021-05-30,2021-W21,82
hospital admissions,EE,2021-05-23,2021-W20,135
hospital admissions,EE,2021-05-16,2021-W19,143
hospital admissions,EE,2021-05-09,2021-W18,197
hospital admissions,EE,2021-05-02,2021-W17,217
hospital admissions,EE,2021-04-25,2021-W16,266
hospital admissions,EE,2021-04-18,2021-W15,297
hospital admissions,EE,2021-04-11,2021-W14,395
hospital admissions,EE,2021-03-28,2021-W12,570
hospital admissions,EE,2021-03-21,2021-W11,554
hospital admissions,EE,2021-03-14,2021-W10,570
hospital admissions,EE,2021-03-07,2021-W09,546
hospital admissions,EE,2021-02-28,2021-W08,412
hospital admissions,EE,2021-02-21,2021-W07,370
hospital admissions,EE,2021-02-14,2021-W06,365
hospital admissions,EE,2021-02-07,2021-W05,324
hospital admissions,EE,2021-01-31,2021-W04,298
hospital admissions,EE,2021-01-24,2021-W03,295
hospital admissions,EE,2021-01-17,2021-W02,298
hospital admissions,EE,2021-01-10,2021-W01,277
hospital admissions,EE,2021-01-03,2020-W53,283
hospital admissions,EE,2020-12-27,2020-W52,274
hospital admissions,EE,2020-12-20,2020-W51,243
hospital admissions,EE,2020-12-13,2020-W50,187
hospital admissions,EE,2020-12-06,2020-W49,191
hospital admissions,EE,2020-11-29,2020-W48,157
hospital admissions,EE,2020-11-22,2020-W47,128
hospital admissions,EE,2020-11-15,2020-W46,60
hospital admissions,EE,2020-11-08,2020-W45,43
hospital admissions,EE,2020-11-01,2020-W44,32
hospital admissions,EE,2020-10-25,2020-W43,18
hospital admissions,EE,2020-10-18,2020-W42,21
hospital admissions,EE,2020-10-11,2020-W41,15
hospital admissions,EE,2020-10-04,2020-W40,30
hospital admissions,EE,2020-09-27,2020-W39,33
hospital admissions,EE,2020-09-20,2020-W38,27
hospital admissions,EE,2020-09-13,2020-W37,12
hospital admissions,EE,2020-09-06,2020-W36,5
hospital admissions,EE,2020-08-30,2020-W35,9
hospital admissions,EE,2020-08-23,2020-W34,8
hospital admissions,EE,2020-08-16,2020-W33,3
hospital admissions,EE,2020-08-09,2020-W32,5
hospital admissions,EE,2020-08-02,2020-W31,2
hospital admissions,EE,2020-07-26,2020-W30,1
hospital admissions,EE,2020-07-19,2020-W29,0
hospital admissions,EE,2020-07-12,2020-W28,2
hospital admissions,EE,2020-07-05,2020-W27,1
hospital admissions,EE,2020-06-28,2020-W26,2
hospital admissions,FI,2022-10-09,2022-W40,2
hospital admissions,FI,2022-09-25,2022-W38,1
hospital admissions,FI,2022-09-18,2022-W37,1
hospital admissions,FI,2022-08-21,2022-W33,5
hospital admissions,FI,2022-08-07,2022-W31,1
hospital admissions,FI,2022-07-31,2022-W30,1
hospital admissions,FI,2022-06-26,2022-W25,1
hospital admissions,FI,2022-06-12,2022-W23,1
hospital admissions,FI,2022-05-01,2022-W17,3
hospital admissions,FI,2022-04-24,2022-W16,2
hospital admissions,FI,2022-04-17,2022-W15,4
hospital admissions,FI,2022-04-10,2022-W14,12
hospital admissions,FI,2022-04-03,2022-W13,4
hospital admissions,FI,2022-03-27,2022-W12,4
hospital admissions,FI,2022-03-20,2022-W11,14
hospital admissions,FI,2022-03-13,2022-W10,8
hospital admissions,FI,2022-03-06,2022-W09,12
hospital admissions,FI,2022-02-27,2022-W08,12
hospital admissions,FI,2022-02-20,2022-W07,13
hospital admissions,FI,2022-02-13,2022-W06,7
hospital admissions,FI,2022-02-06,2022-W05,18
hospital admissions,FI,2022-01-30,2022-W04,4
hospital admissions,FI,2022-01-23,2022-W03,4
hospital admissions,FI,2022-01-16,2022-W02,38
hospital admissions,FI,2022-01-09,2022-W01,112
hospital admissions,FI,2022-01-02,2021-W52,130
hospital admissions,FI,2021-12-26,2021-W51,71
hospital admissions,FI,2021-12-19,2021-W50,73
hospital admissions,FI,2021-12-12,2021-W49,84
hospital admissions,FI,2021-12-05,2021-W48,81
hospital admissions,FI,2021-11-28,2021-W47,84
hospital admissions,FI,2021-11-21,2021-W46,90
hospital admissions,FI,2021-11-14,2021-W45,92
hospital admissions,FI,2021-11-07,2021-W44,99
hospital admissions,FI,2021-10-31,2021-W43,75
hospital admissions,FI,2021-10-24,2021-W42,48
hospital admissions,FI,2021-10-17,2021-W41,76
hospital admissions,FI,2021-10-10,2021-W40,67
hospital admissions,FI,2021-10-03,2021-W39,49
hospital admissions,FI,2021-09-26,2021-W38,30
hospital admissions,FI,2021-09-19,2021-W37,22
hospital admissions,FI,2021-09-12,2021-W36,33
hospital admissions,FI,2021-09-05,2021-W35,56
hospital admissions,FI,2021-08-29,2021-W34,49
hospital admissions,FI,2021-08-22,2021-W33,35
hospital admissions,FI,2021-08-15,2021-W32,40
hospital admissions,FI,2021-08-08,2021-W31,45
hospital admissions,FI,2021-08-01,2021-W30,68
hospital admissions,FI,2021-07-25,2021-W29,49
hospital admissions,FI,2021-07-18,2021-W28,15
hospital admissions,FI,2021-07-11,2021-W27,25
hospital admissions,FI,2021-07-04,2021-W26,17
hospital admissions,FI,2021-06-27,2021-W25,12
hospital admissions,FI,2021-06-20,2021-W24,15
hospital admissions,FI,2021-06-13,2021-W23,6
hospital admissions,FI,2021-06-06,2021-W22,15
hospital admissions,FI,2021-05-30,2021-W21,24
hospital admissions,FI,2021-05-23,2021-W20,31
hospital admissions,FI,2021-05-16,2021-W19,41
hospital admissions,FI,2021-05-09,2021-W18,29
hospital admissions,FI,2021-05-02,2021-W17,56
hospital admissions,FI,2021-04-25,2021-W16,39
hospital admissions,FI,2021-04-18,2021-W15,68
hospital admissions,FI,2021-04-11,2021-W14,65
hospital admissions,FI,2021-04-04,2021-W13,78
hospital admissions,FI,2021-03-28,2021-W12,113
hospital admissions,FI,2021-03-21,2021-W11,96
hospital admissions,FI,2021-03-14,2021-W10,126
hospital admissions,FI,2021-03-07,2021-W09,139
hospital admissions,FI,2021-02-28,2021-W08,124
hospital admissions,FI,2021-02-21,2021-W07,102
hospital admissions,FI,2021-02-14,2021-W06,78
hospital admissions,FI,2021-02-07,2021-W05,48
hospital admissions,FI,2021-01-31,2021-W04,63
hospital admissions,FI,2021-01-24,2021-W03,54
hospital admissions,FI,2021-01-17,2021-W02,72
hospital admissions,FI,2021-01-10,2021-W01,69
hospital admissions,FI,2021-01-03,2020-W53,70
hospital admissions,FI,2020-12-27,2020-W52,73
hospital admissions,FI,2020-12-20,2020-W51,89
hospital admissions,FI,2020-12-13,2020-W50,129
hospital admissions,FI,2020-12-06,2020-W49,122
hospital admissions,FI,2020-11-29,2020-W48,100
hospital admissions,FI,2020-11-22,2020-W47,115
hospital admissions,FI,2020-11-15,2020-W46,66
hospital admissions,FI,2020-11-08,2020-W45,46
hospital admissions,FI,2020-11-01,2020-W44,42
hospital admissions,FI,2020-10-25,2020-W43,35
hospital admissions,FI,2020-10-18,2020-W42,45
hospital admissions,FI,2020-10-11,2020-W41,28
hospital admissions,FI,2020-10-04,2020-W40,31
hospital admissions,FI,2020-09-27,2020-W39,15
hospital admissions,FI,2020-09-20,2020-W38,9
hospital admissions,FI,2020-09-13,2020-W37,15
hospital admissions,FI,2020-09-06,2020-W36,7
hospital admissions,FI,2020-08-30,2020-W35,2
hospital admissions,FI,2020-08-23,2020-W34,11
hospital admissions,FI,2020-08-16,2020-W33,9
hospital admissions,FI,2020-08-09,2020-W32,5
hospital admissions,FI,2020-08-02,2020-W31,6
hospital admissions,FI,2020-07-26,2020-W30,3
hospital admissions,FI,2020-07-19,2020-W29,3
hospital admissions,FI,2020-07-12,2020-W28,3
hospital admissions,FI,2020-07-05,2020-W27,5
hospital admissions,FI,2020-06-28,2020-W26,3
hospital admissions,FI,2020-06-21,2020-W25,9
hospital admissions,FR,2025-04-06,2025-W14,2
hospital admissions,FR,2025-03-30,2025-W13,1
hospital admissions,FR,2025-03-23,2025-W12,1
hospital admissions,FR,2025-03-16,2025-W11,4
hospital admissions,FR,2025-03-09,2025-W10,3
hospital admissions,FR,2025-03-02,2025-W09,5
hospital admissions,FR,2025-02-23,2025-W08,1
hospital admissions,FR,2025-02-16,2025-W07,4
hospital admissions,FR,2025-02-09,2025-W06,11
hospital admissions,FR,2025-02-02,2025-W05,5
hospital admissions,FR,2025-01-26,2025-W04,11
hospital admissions,FR,2025-01-19,2025-W03,8
hospital admissions,FR,2025-01-12,2025-W02,9
hospital admissions,FR,2025-01-05,2025-W01,25
hospital admissions,FR,2024-12-29,2024-W52,15
hospital admissions,FR,2024-12-22,2024-W51,17
hospital admissions,FR,2024-12-15,2024-W50,12
hospital admissions,FR,2024-12-08,2024-W49,12
hospital admissions,FR,2024-12-01,2024-W48,16
hospital admissions,FR,2024-11-24,2024-W47,18
hospital admissions,FR,2024-11-17,2024-W46,12
hospital admissions,FR,2024-11-10,2024-W45,18
hospital admissions,FR,2024-11-03,2024-W44,19
hospital admissions,FR,2024-10-27,2024-W43,28
hospital admissions,FR,2024-10-20,2024-W42,27
hospital admissions,FR,2024-10-13,2024-W41,24
hospital admissions,FR,2024-10-06,2024-W40,37
hospital admissions,FR,2024-09-29,2024-W39,6
hospital admissions,FR,2024-09-15,2024-W37,1
hospital admissions,FR,2024-03-31,2024-W13,1
hospital admissions,FR,2024-03-24,2024-W12,3
hospital admissions,FR,2024-03-17,2024-W11,4
hospital admissions,FR,2024-03-10,2024-W10,2
hospital admissions,FR,2024-03-03,2024-W09,3
hospital admissions,FR,2024-02-25,2024-W08,7
hospital admissions,FR,2024-02-18,2024-W07,8
hospital admissions,FR,2024-02-11,2024-W06,15
hospital admissions,FR,2024-02-04,2024-W05,12
hospital admissions,FR,2024-01-28,2024-W04,15
hospital admissions,FR,2024-01-21,2024-W03,22
hospital admissions,FR,2024-01-14,2024-W02,30
hospital admissions,FR,2024-01-07,2024-W01,52
hospital admissions,FR,2023-12-31,2023-W52,45
hospital admissions,FR,2023-12-24,2023-W51,48
hospital admissions,FR,2023-12-17,2023-W50,56
hospital admissions,FR,2023-12-10,2023-W49,47
hospital admissions,FR,2023-12-03,2023-W48,48
hospital admissions,FR,2023-11-26,2023-W47,49
hospital admissions,FR,2023-11-19,2023-W46,33
hospital admissions,FR,2023-11-12,2023-W45,22
hospital admissions,FR,2023-11-05,2023-W44,32
hospital admissions,FR,2023-10-29,2023-W43,29
hospital admissions,FR,2023-10-22,2023-W42,43
hospital admissions,FR,2023-10-15,2023-W41,33
hospital admissions,FR,2023-10-08,2023-W40,37
hospital admissions,FR,2023-10-01,2023-W39,18
hospital admissions,FR,2023-09-24,2023-W38,13
hospital admissions,FR,2023-09-17,2023-W37,8
hospital admissions,FR,2023-09-10,2023-W36,1
hospital admissions,FR,2023-09-03,2023-W35,3
hospital admissions,FR,2023-08-27,2023-W34,2
hospital admissions,FR,2023-07-16,2023-W28,1
hospital admissions,FR,2023-07-02,2023-W26,1
hospital admissions,FR,2023-06-25,2023-W25,475
hospital admissions,FR,2023-06-18,2023-W24,546
hospital admissions,FR,2023-06-11,2023-W23,844
hospital admissions,FR,2023-06-04,2023-W22,989
hospital admissions,FR,2023-05-28,2023-W21,1253
hospital admissions,FR,2023-05-21,2023-W20,1195
hospital admissions,FR,2023-05-14,2023-W19,1469
hospital admissions,FR,2023-05-07,2023-W18,2202
hospital admissions,FR,2023-04-30,2023-W17,2774
hospital admissions,FR,2023-04-23,2023-W16,3153
hospital admissions,FR,2023-04-16,2023-W15,2741
hospital admissions,FR,2023-04-09,2023-W14,2647
hospital admissions,FR,2023-04-02,2023-W13,2722
hospital admissions,FR,2023-03-26,2023-W12,2817
hospital admissions,FR,2023-03-19,2023-W11,2256
hospital admissions,FR,2023-03-12,2023-W10,2190
hospital admissions,FR,2023-03-05,2023-W09,1755
hospital admissions,FR,2023-02-26,2023-W08,1864
hospital admissions,FR,2023-02-19,2023-W07,1722
hospital admissions,FR,2023-02-12,2023-W06,1728
hospital admissions,FR,2023-02-05,2023-W05,1835
hospital admissions,FR,2023-01-29,2023-W04,1832
hospital admissions,FR,2023-01-22,2023-W03,2295
hospital admissions,FR,2023-01-15,2023-W02,3526
hospital admissions,FR,2023-01-08,2023-W01,5409
hospital admissions,FR,2023-01-01,2022-W52,7138
hospital admissions,FR,2022-12-25,2022-W51,9721
hospital admissions,FR,2022-12-18,2022-W50,10155
hospital admissions,FR,2022-12-11,2022-W49,9025
hospital admissions,FR,2022-12-04,2022-W48,7208
hospital admissions,FR,2022-11-27,2022-W47,5524
hospital admissions,FR,2022-11-20,2022-W46,5273
hospital admissions,FR,2022-11-13,2022-W45,3973
hospital admissions,FR,2022-11-06,2022-W44,4273
hospital admissions,FR,2022-10-30,2022-W43,6073
hospital admissions,FR,2022-10-23,2022-W42,7577
hospital admissions,FR,2022-10-16,2022-W41,7512
hospital admissions,FR,2022-10-09,2022-W40,6589
hospital admissions,FR,2022-10-02,2022-W39,4824
hospital admissions,FR,2022-09-25,2022-W38,2952
hospital admissions,FR,2022-09-18,2022-W37,2535
hospital admissions,FR,2022-09-11,2022-W36,2468
hospital admissions,FR,2022-09-04,2022-W35,2550
hospital admissions,FR,2022-08-28,2022-W34,3100
hospital admissions,FR,2022-08-21,2022-W33,3588
hospital admissions,FR,2022-08-14,2022-W32,4485
hospital admissions,FR,2022-08-07,2022-W31,5488
hospital admissions,FR,2022-07-31,2022-W30,7440
hospital admissions,FR,2022-07-24,2022-W29,9535
hospital admissions,FR,2022-07-17,2022-W28,9109
hospital admissions,FR,2022-07-10,2022-W27,8670
hospital admissions,FR,2022-07-03,2022-W26,6426
hospital admissions,FR,2022-06-26,2022-W25,4906
hospital admissions,FR,2022-06-19,2022-W24,3402
hospital admissions,FR,2022-06-12,2022-W23,2908
hospital admissions,FR,2022-06-05,2022-W22,2705
hospital admissions,FR,2022-05-29,2022-W21,2616
hospital admissions,FR,2022-05-22,2022-W20,3785
hospital admissions,FR,2022-05-15,2022-W19,5050
hospital admissions,FR,2022-05-08,2022-W18,6309
hospital admissions,FR,2022-05-01,2022-W17,8403
hospital admissions,FR,2022-04-24,2022-W16,9492
hospital admissions,FR,2022-04-17,2022-W15,11182
hospital admissions,FR,2022-04-10,2022-W14,10612
hospital admissions,FR,2022-04-03,2022-W13,9760
hospital admissions,FR,2022-03-27,2022-W12,7669
hospital admissions,FR,2022-03-20,2022-W11,7033
hospital admissions,FR,2022-03-13,2022-W10,6434
hospital admissions,FR,2022-03-06,2022-W09,6239
hospital admissions,FR,2022-02-27,2022-W08,8070
hospital admissions,FR,2022-02-20,2022-W07,11049
hospital admissions,FR,2022-02-13,2022-W06,14377
hospital admissions,FR,2022-02-06,2022-W05,18064
hospital admissions,FR,2022-01-30,2022-W04,18418
hospital admissions,FR,2022-01-23,2022-W03,17696
hospital admissions,FR,2022-01-16,2022-W02,15057
hospital admissions,FR,2022-01-09,2022-W01,13581
hospital admissions,FR,2022-01-02,2021-W52,10448
hospital admissions,FR,2021-12-26,2021-W51,8071
hospital admissions,FR,2021-12-19,2021-W50,8053
hospital admissions,FR,2021-12-12,2021-W49,7640
hospital admissions,FR,2021-12-05,2021-W48,6014
hospital admissions,FR,2021-11-28,2021-W47,4231
hospital admissions,FR,2021-11-21,2021-W46,3090
hospital admissions,FR,2021-11-14,2021-W45,2149
hospital admissions,FR,2021-11-07,2021-W44,1801
hospital admissions,FR,2021-10-31,2021-W43,1634
hospital admissions,FR,2021-10-24,2021-W42,1454
hospital admissions,FR,2021-10-17,2021-W41,1204
hospital admissions,FR,2021-10-10,2021-W40,1284
hospital admissions,FR,2021-10-03,2021-W39,1444
hospital admissions,FR,2021-09-26,2021-W38,1909
hospital admissions,FR,2021-09-19,2021-W37,2378
hospital admissions,FR,2021-09-12,2021-W36,3322
hospital admissions,FR,2021-09-05,2021-W35,3936
hospital admissions,FR,2021-08-29,2021-W34,4873
hospital admissions,FR,2021-08-22,2021-W33,5644
hospital admissions,FR,2021-08-15,2021-W32,4714
hospital admissions,FR,2021-08-08,2021-W31,4312
hospital admissions,FR,2021-08-01,2021-W30,3257
hospital admissions,FR,2021-07-25,2021-W29,1665
hospital admissions,FR,2021-07-18,2021-W28,1052
hospital admissions,FR,2021-07-11,2021-W27,709
hospital admissions,FR,2021-07-04,2021-W26,748
hospital admissions,FR,2021-06-27,2021-W25,893
hospital admissions,FR,2021-06-20,2021-W24,1268
hospital admissions,FR,2021-06-13,2021-W23,1895
hospital admissions,FR,2021-06-06,2021-W22,2631
hospital admissions,FR,2021-05-30,2021-W21,3067
hospital admissions,FR,2021-05-23,2021-W20,4384
hospital admissions,FR,2021-05-16,2021-W19,5219
hospital admissions,FR,2021-05-09,2021-W18,7686
hospital admissions,FR,2021-05-02,2021-W17,10231
hospital admissions,FR,2021-04-25,2021-W16,11810
hospital admissions,FR,2021-04-18,2021-W15,12570
hospital admissions,FR,2021-04-11,2021-W14,13165
hospital admissions,FR,2021-04-04,2021-W13,13068
hospital admissions,FR,2021-03-28,2021-W12,12149
hospital admissions,FR,2021-03-21,2021-W11,10459
hospital admissions,FR,2021-03-14,2021-W10,9330
hospital admissions,FR,2021-03-07,2021-W09,9012
hospital admissions,FR,2021-02-28,2021-W08,9186
hospital admissions,FR,2021-02-21,2021-W07,8867
hospital admissions,FR,2021-02-14,2021-W06,9314
hospital admissions,FR,2021-02-07,2021-W05,10595
hospital admissions,FR,2021-01-31,2021-W04,10523
hospital admissions,FR,2021-01-24,2021-W03,10629
hospital admissions,FR,2021-01-17,2021-W02,9228
hospital admissions,FR,2021-01-10,2021-W01,8470
hospital admissions,FR,2021-01-03,2020-W53,7158
hospital admissions,FR,2020-12-27,2020-W52,7254
hospital admissions,FR,2020-12-20,2020-W51,8319
hospital admissions,FR,2020-12-13,2020-W50,8153
hospital admissions,FR,2020-12-06,2020-W49,8088
hospital admissions,FR,2020-11-29,2020-W48,8626
hospital admissions,FR,2020-11-22,2020-W47,12634
hospital admissions,FR,2020-11-15,2020-W46,16015
hospital admissions,FR,2020-11-08,2020-W45,18502
hospital admissions,FR,2020-11-01,2020-W44,16154
hospital admissions,FR,2020-10-25,2020-W43,11514
hospital admissions,FR,2020-10-18,2020-W42,7070
hospital admissions,FR,2020-10-11,2020-W41,4633
hospital admissions,FR,2020-10-04,2020-W40,3961
hospital admissions,FR,2020-09-27,2020-W39,3842
hospital admissions,FR,2020-09-20,2020-W38,3176
hospital admissions,FR,2020-09-13,2020-W37,2169
hospital admissions,FR,2020-09-06,2020-W36,1544
hospital admissions,FR,2020-08-30,2020-W35,1068
hospital admissions,FR,2020-08-23,2020-W34,946
hospital admissions,FR,2020-08-16,2020-W33,822
hospital admissions,FR,2020-08-09,2020-W32,665
hospital admissions,FR,2020-08-02,2020-W31,628
hospital admissions,FR,2020-07-26,2020-W30,564
hospital admissions,FR,2020-07-19,2020-W29,509
hospital admissions,FR,2020-07-12,2020-W28,503
hospital admissions,FR,2020-07-05,2020-W27,535
hospital admissions,FR,2020-06-28,2020-W26,551
hospital admissions,FR,2020-06-21,2020-W25,616
hospital admissions,DE,2022-10-16,2022-W41,304
hospital admissions,DE,2022-10-09,2022-W40,7004
hospital admissions,DE,2022-10-02,2022-W39,9392
hospital admissions,DE,2022-09-25,2022-W38,7229
hospital admissions,DE,2022-09-18,2022-W37,5080
hospital admissions,DE,2022-09-11,2022-W36,4484
hospital admissions,DE,2022-09-04,2022-W35,4279
hospital admissions,DE,2022-08-28,2022-W34,4914
hospital admissions,DE,2022-08-21,2022-W33,5767
hospital admissions,DE,2022-08-14,2022-W32,6313
hospital admissions,DE,2022-08-07,2022-W31,7421
hospital admissions,DE,2022-07-31,2022-W30,8274
hospital admissions,DE,2022-07-24,2022-W29,10219
hospital admissions,DE,2022-07-17,2022-W28,9754
hospital admissions,DE,2022-07-10,2022-W27,8563
hospital admissions,DE,2022-07-03,2022-W26,7497
hospital admissions,DE,2022-06-26,2022-W25,7139
hospital admissions,DE,2022-06-19,2022-W24,5598
hospital admissions,DE,2022-06-12,2022-W23,4435
hospital admissions,DE,2022-06-05,2022-W22,3521
hospital admissions,DE,2022-05-29,2022-W21,2871
hospital admissions,DE,2022-05-22,2022-W20,3720
hospital admissions,DE,2022-05-15,2022-W19,4492
hospital admissions,DE,2022-05-08,2022-W18,5381
hospital admissions,DE,2022-05-01,2022-W17,5975
hospital admissions,DE,2022-04-24,2022-W16,7008
hospital admissions,DE,2022-04-17,2022-W15,7539
hospital admissions,DE,2022-04-10,2022-W14,9315
hospital admissions,DE,2022-04-03,2022-W13,10356
hospital admissions,DE,2022-03-27,2022-W12,11458
hospital admissions,DE,2022-03-20,2022-W11,11849
hospital admissions,DE,2022-03-13,2022-W10,11608
hospital admissions,DE,2022-03-06,2022-W09,10370
hospital admissions,DE,2022-02-27,2022-W08,10057
hospital admissions,DE,2022-02-20,2022-W07,10501
hospital admissions,DE,2022-02-13,2022-W06,10122
hospital admissions,DE,2022-02-06,2022-W05,10026
hospital admissions,DE,2022-01-30,2022-W04,8624
hospital admissions,DE,2022-01-23,2022-W03,7394
hospital admissions,DE,2022-01-16,2022-W02,5940
hospital admissions,DE,2022-01-09,2022-W01,6070
hospital admissions,DE,2022-01-02,2021-W52,5823
hospital admissions,DE,2021-12-26,2021-W51,6099
hospital admissions,DE,2021-12-19,2021-W50,8082
hospital admissions,DE,2021-12-12,2021-W49,9454
hospital admissions,DE,2021-12-05,2021-W48,10187
