target,location,truth_date,year_week,value,data_source
hospital admissions,DK,2021-04-11,2021-W14,5,ERVISS
hospital admissions,DK,2021-04-04,2021-W13,9,ERVISS
hospital admissions,DK,2021-03-28,2021-W12,11,ERVISS
hospital admissions,DK,2021-03-21,2021-W11,4,ERVISS
hospital admissions,DK,2021-03-14,2021-W10,10,ERVISS
hospital admissions,DK,2021-03-07,2021-W09,4,ERVISS
hospital admissions,DK,2021-02-28,2021-W08,4,ERVISS
hospital admissions,DK,2021-02-21,2021-W07,10,ERVISS
hospital admissions,DK,2021-02-14,2021-W06,3,ERVISS
hospital admissions,DK,2021-02-07,2021-W05,1,ERVISS
hospital admissions,DK,2021-01-31,2021-W04,2,ERVISS
hospital admissions,DK,2021-01-24,2021-W03,5,ERVISS
hospital admissions,DK,2021-01-17,2021-W02,10,ERVISS
hospital admissions,DK,2021-01-10,2021-W01,7,ERVISS
hospital admissions,DK,2021-01-03,2020-W53,2,ERVISS
hospital admissions,DK,2020-12-27,2020-W52,6,ERVISS
hospital admissions,DK,2020-12-20,2020-W51,2,ERVISS
hospital admissions,DK,2020-12-13,2020-W50,2,ERVISS
hospital admissions,DK,2020-12-06,2020-W49,5,ERVISS
hospital admissions,DK,2020-11-22,2020-W47,2,ERVISS
hospital admissions,DK,2020-11-15,2020-W46,1,ERVISS
hospital admissions,DK,2020-11-08,2020-W45,1,ERVISS
hospital admissions,DK,2020-11-01,2020-W44,1,ERVISS
hospital admissions,DK,2020-10-18,2020-W42,1,ERVISS
hospital admissions,DK,2020-09-06,2020-W36,1,ERVISS
hospital admissions,DK,2020-08-23,2020-W34,2,ERVISS
hospital admissions,DK,2020-07-05,2020-W27,1,ERVISS
hospital admissions,EE,2025-03-30,2025-W13,2,ERVISS
hospital admissions,EE,2025-03-23,2025-W12,2,ERVISS
hospital admissions,EE,2025-03-16,2025-W11,8,ERVISS
hospital admissions,EE,2025-03-09,2025-W10,13,ERVISS
hospital admissions,EE,2025-03-02,2025-W09,14,ERVISS
hospital admissions,EE,2025-02-23,2025-W08,22,ERVISS
hospital admissions,EE,2025-02-16,2025-W07,26,ERVISS
hospital admissions,EE,2025-02-09,2025-W06,26,ERVISS
hospital admissions,EE,2025-02-02,2025-W05,25,ERVISS
hospital admissions,EE,2025-01-26,2025-W04,26,ERVISS
hospital admissions,EE,2025-01-19,2025-W03,47,ERVISS
hospital admissions,EE,2025-01-12,2025-W02,40,ERVISS
hospital admissions,EE,2025-01-05,2025-W01,51,ERVISS
hospital admissions,EE,2024-12-29,2024-W52,57,ERVISS
hospital admissions,EE,2024-12-22,2024-W51,76,ERVISS
hospital admissions,EE,2024-12-15,2024-W50,99,ERVISS
hospital admissions,EE,2024-12-08,2024-W49,83,ERVISS
hospital admissions,EE,2024-12-01,2024-W48,84,ERVISS
hospital admissions,EE,2024-11-24,2024-W47,59,ERVISS
hospital admissions,EE,2024-11-17,2024-W46,63,ERVISS
hospital admissions,EE,2024-11-10,2024-W45,70,ERVISS
hospital admissions,EE,2024-11-03,2024-W44,59,ERVISS
hospital admissions,EE,2024-10-27,2024-W43,67,ERVISS
hospital admissions,EE,2024-10-20,2024-W42,67,ERVISS
hospital admissions,EE,2024-10-13,2024-W41,64,ERVISS
hospital admissions,EE,2024-10-06,2024-W40,61,ERVISS
hospital admissions,EE,2024-09-29,2024-W39,49,ERVISS
hospital admissions,EE,2024-09-22,2024-W38,41,ERVISS
hospital admissions,EE,2024-09-15,2024-W37,52,ERVISS
hospital admissions,EE,2024-09-08,2024-W36,50,ERVISS
hospital admissions,EE,2024-09-01,2024-W35,42,ERVISS
hospital admissions,EE,2024-08-25,2024-W34,35,ERVISS
hospital admissions,EE,2024-08-18,2024-W33,30,ERVISS
hospital admissions,EE,2024-08-11,2024-W32,32,ERVISS
hospital admissions,EE,2024-08-04,2024-W31,24,ERVISS
hospital admissions,EE,2024-07-28,2024-W30,13,ERVISS
hospital admissions,EE,2024-07-21,2024-W29,12,ERVISS
hospital admissions,EE,2024-07-14,2024-W28,6,ERVISS
hospital admissions,EE,2024-07-07,2024-W27,8,ERVISS
hospital admissions,EE,2024-06-30,2024-W26,7,ERVISS
hospital admissions,EE,2024-06-23,2024-W25,11,ERVISS
hospital admissions,EE,2024-06-16,2024-W24,7,ERVISS
hospital admissions,EE,2024-06-09,2024-W23,7,ERVISS
hospital admissions,EE,2024-06-02,2024-W22,0,ERVISS
hospital admissions,EE,2024-05-26,2024-W21,9,ERVISS
hospital admissions,EE,2024-05-19,2024-W20,0,ERVISS
hospital admissions,EE,2024-05-12,2024-W19,0,ERVISS
hospital admissions,EE,2024-05-05,2024-W18,0,ERVISS
hospital admissions,EE,2024-04-28,2024-W17,0,ERVISS
hospital admissions,EE,2024-04-21,2024-W16,1,ERVISS
hospital admissions,EE,2024-04-14,2024-W15,1,ERVISS
hospital admissions,EE,2024-04-07,2024-W14,1,ERVISS
hospital admissions,EE,2024-03-31,2024-W13,6,ERVISS
hospital admissions,EE,2024-03-24,2024-W12,1,ERVISS
hospital admissions,EE,2024-03-17,2024-W11,7,ERVISS
hospital admissions,EE,2024-03-10,2024-W10,10,ERVISS
hospital admissions,EE,2024-03-03,2024-W09,3,ERVISS
hospital admissions,EE,2024-02-25,2024-W08,17,ERVISS
hospital admissions,EE,2024-02-18,2024-W07,3,ERVISS
hospital admissions,EE,2024-02-11,2024-W06,12,ERVISS
hospital admissions,EE,2024-02-04,2024-W05,21,ERVISS
hospital admissions,EE,2024-01-28,2024-W04,23,ERVISS
hospital admissions,EE,2024-01-21,2024-W03,33,ERVISS
hospital admissions,EE,2024-01-14,2024-W02,51,ERVISS
hospital admissions,EE,2024-01-07,2024-W01,65,ERVISS
hospital admissions,EE,2023-12-31,2023-W52,95,ERVISS
hospital admissions,EE,2023-12-24,2023-W51,129,ERVISS
hospital admissions,EE,2023-12-17,2023-W50,131,ERVISS
hospital admissions,EE,2023-12-10,2023-W49,125,ERVISS
hospital admissions,EE,2023-12-03,2023-W48,116,ERVISS
hospital admissions,EE,2023-11-26,2023-W47,121,ERVISS
hospital admissions,EE,2023-11-19,2023-W46,112,ERVISS
hospital admissions,EE,2023-11-12,2023-W45,78,ERVISS
hospital admissions,EE,2023-11-05,2023-W44,149,ERVISS
hospital admissions,EE,2023-10-29,2023-W43,86,ERVISS
hospital admissions,EE,2023-10-22,2023-W42,42,ERVISS
hospital admissions,EE,2023-10-15,2023-W41,21,ERVISS
hospital admissions,EE,2023-10-08,2023-W40,21,ERVISS
hospital admissions,EE,2023-10-01,2023-W39,26,ERVISS
hospital admissions,EE,2023-09-24,2023-W38,20,ERVISS
hospital admissions,EE,2023-09-17,2023-W37,28,ERVISS
hospital admissions,EE,2023-09-10,2023-W36,17,ERVISS
hospital admissions,EE,2023-09-03,2023-W35,19,ERVISS
hospital admissions,EE,2023-08-27,2023-W34,6,ERVISS
hospital admissions,EE,2023-08-20,2023-W33,5,ERVISS
hospital admissions,EE,2023-08-13,2023-W32,6,ERVISS
hospital admissions,EE,2023-08-06,2023-W31,10,ERVISS
hospital admissions,EE,2023-07-30,2023-W30,9,ERVISS
hospital admissions,EE,2023-07-23,2023-W29,9,ERVISS
hospital admissions,EE,2023-07-16,2023-W28,13,ERVISS
hospital admissions,EE,2023-07-09,2023-W27,6,ERVISS
hospital admissions,EE,2023-07-02,2023-W26,9,ERVISS
hospital admissions,EE,2023-06-25,2023-W25,15,ERVISS
hospital admissions,EE,2023-06-18,2023-W24,14,ERVISS
hospital admissions,EE,2023-06-11,2023-W23,29,ERVISS
hospital admissions,EE,2023-06-04,2023-W22,32,ERVISS
hospital admissions,EE,2023-05-28,2023-W21,38,ERVISS
hospital admissions,EE,2023-05-21,2023-W20,40,ERVISS
hospital admissions,EE,2023-05-14,2023-W19,80,ERVISS
hospital admissions,EE,2023-05-07,2023-W18,53,ERVISS
hospital admissions,EE,2023-04-30,2023-W17,98,ERVISS
hospital admissions,EE,2023-04-23,2023-W16,143,ERVISS
hospital admissions,EE,2023-04-16,2023-W15,112,ERVISS
hospital admissions,EE,2023-04-09,2023-W14,145,ERVISS
hospital admissions,EE,2023-04-02,2023-W13,163,ERVISS
hospital admissions,EE,2023-03-26,2023-W12,132,ERVISS
hospital admissions,EE,2023-03-19,2023-W11,115,ERVISS
hospital admissions,EE,2023-03-12,2023-W10,100,ERVISS
hospital admissions,EE,2023-03-05,2023-W09,120,ERVISS
hospital admissions,EE,2023-02-26,2023-W08,115,ERVISS
hospital admissions,EE,2023-02-19,2023-W07,108,ERVISS
hospital admissions,EE,2023-02-12,2023-W06,113,ERVISS
hospital admissions,EE,2023-02-05,2023-W05,109,ERVISS
hospital admissions,EE,2023-01-29,2023-W04,132,ERVISS
hospital admissions,EE,2023-01-22,2023-W03,108,ERVISS
hospital admissions,EE,2023-01-15,2023-W02,136,ERVISS
hospital admissions,EE,2023-01-08,2023-W01,149,ERVISS
hospital admissions,EE,2023-01-01,2022-W52,235,ERVISS
hospital admissions,EE,2022-12-25,2022-W51,245,ERVISS
hospital admissions,EE,2022-12-18,2022-W50,260,ERVISS
hospital admissions,EE,2022-12-11,2022-W49,232,ERVISS
hospital admissions,EE,2022-12-04,2022-W48,190,ERVISS
hospital admissions,EE,2022-11-27,2022-W47,161,ERVISS
hospital admissions,EE,2022-11-20,2022-W46,164,ERVISS
hospital admissions,EE,2022-11-13,2022-W45,164,ERVISS
hospital admissions,EE,2022-11-06,2022-W44,179,ERVISS
hospital admissions,EE,2022-10-30,2022-W43,174,ERVISS
hospital admissions,EE,2022-10-23,2022-W42,218,ERVISS
hospital admissions,EE,2022-10-16,2022-W41,176,ERVISS
hospital admissions,EE,2022-10-09,2022-W40,201,ERVISS
hospital admissions,EE,2022-10-02,2022-W39,150,ERVISS
hospital admissions,EE,2022-09-25,2022-W38,150,ERVISS
hospital admissions,EE,2022-09-18,2022-W37,150,ERVISS
hospital admissions,EE,2022-09-11,2022-W36,101,ERVISS
hospital admissions,EE,2022-09-04,2022-W35,75,ERVISS
hospital admissions,EE,2022-08-28,2022-W34,95,ERVISS
hospital admissions,EE,2022-08-21,2022-W33,90,ERVISS
hospital admissions,EE,2022-08-14,2022-W32,129,ERVISS
hospital admissions,EE,2022-08-07,2022-W31,122,ERVISS
hospital admissions,EE,2022-07-31,2022-W30,143,ERVISS
hospital admissions,EE,2022-07-24,2022-W29,117,ERVISS
hospital admissions,EE,2022-07-17,2022-W28,97,ERVISS
hospital admissions,EE,2022-07-10,2022-W27,79,ERVISS
hospital admissions,EE,2022-07-03,2022-W26,97,ERVISS
hospital admissions,EE,2022-06-26,2022-W25,80,ERVISS
hospital admissions,EE,2022-06-19,2022-W24,64,ERVISS
hospital admissions,EE,2022-06-12,2022-W23,59,ERVISS
hospital admissions,EE,2022-06-05,2022-W22,76,ERVISS
hospital admissions,EE,2022-05-29,2022-W21,83,ERVISS
hospital admissions,EE,2022-05-22,2022-W20,81,ERVISS
hospital admissions,EE,2022-05-15,2022-W19,98,ERVISS
hospital admissions,EE,2022-05-08,2022-W18,132,ERVISS
hospital admissions,EE,2022-05-01,2022-W17,110,ERVISS
hospital admissions,EE,2022-04-24,2022-W16,141,ERVISS
hospital admissions,EE,2022-04-17,2022-W15,135,ERVISS
hospital admissions,EE,2022-04-10,2022-W14,247,ERVISS
hospital admissions,EE,2022-04-03,2022-W13,240,ERVISS
hospital admissions,EE,2022-03-27,2022-W12,342,ERVISS
hospital admissions,EE,2022-03-20,2022-W11,346,ERVISS
hospital admissions,EE,2022-03-13,2022-W10,496,ERVISS
hospital admissions,EE,2022-03-06,2022-W09,549,ERVISS
hospital admissions,EE,2022-02-27,2022-W08,565,ERVISS
hospital admissions,EE,2022-02-20,2022-W07,609,ERVISS
hospital admissions,EE,2022-02-13,2022-W06,485,ERVISS
hospital admissions,EE,2022-02-06,2022-W05,369,ERVISS
hospital admissions,EE,2022-01-30,2022-W04,319,ERVISS
hospital admissions,EE,2022-01-23,2022-W03,277,ERVISS
hospital admissions,EE,2022-01-16,2022-W02,260,ERVISS
hospital admissions,EE,2022-01-09,2022-W01,197,ERVISS
hospital admissions,EE,2022-01-02,2021-W52,161,ERVISS
hospital admissions,EE,2021-12-26,2021-W51,180,ERVISS
hospital admissions,EE,2021-12-19,2021-W50,173,ERVISS
hospital admissions,EE,2021-12-12,2021-W49,222,ERVISS
hospital admissions,EE,2021-12-05,2021-W48,150,ERVISS
hospital admissions,EE,2021-11-28,2021-W47,205,ERVISS
hospital admissions,EE,2021-11-21,2021-W46,256,ERVISS
hospital admissions,EE,2021-11-14,2021-W45,367,ERVISS
hospital admissions,EE,2021-10-31,2021-W43,460,ERVISS
hospital admissions,EE,2021-10-24,2021-W42,429,ERVISS
hospital admissions,EE,2021-10-17,2021-W41,348,ERVISS
hospital admissions,EE,2021-10-10,2021-W40,242,ERVISS
hospital admissions,EE,2021-10-03,2021-W39,199,ERVISS
hospital admissions,EE,2021-09-26,2021-W38,148,ERVISS
hospital admissions,EE,2021-09-19,2021-W37,134,ERVISS
hospital admissions,EE,2021-09-12,2021-W36,144,ERVISS
hospital admissions,EE,2021-09-05,2021-W35,115,ERVISS
hospital admissions,EE,2021-08-29,2021-W34,112,ERVISS
hospital admissions,EE,2021-08-22,2021-W33,69,ERVISS
hospital admissions,EE,2021-08-15,2021-W32,67,ERVISS
hospital admissions,EE,2021-08-08,2021-W31,48,ERVISS
hospital admissions,EE,2021-08-01,2021-W30,42,ERVISS
hospital admissions,EE,2021-07-25,2021-W29,29,ERVISS
hospital admissions,EE,2021-07-18,2021-W28,16,ERVISS
hospital admissions,EE,2021-07-11,2021-W27,22,ERVISS
hospital admissions,EE,2021-07-04,2021-W26,17,ERVISS
hospital admissions,EE,2021-06-27,2021-W25,24,ERVISS
hospital admissions,EE,2021-06-20,2021-W24,40,ERVISS
hospital admissions,EE,2021-06-13,2021-W23,41,ERVISS
hospital admissions,EE,2021-06-06,2021-W22,47,ERVISS
hospital admissions,EE,2021-05-30,2021-W21,82,ERVISS
hospital admissions,EE,2021-05-23,2021-W20,135,ERVISS
hospital admissions,EE,2021-05-16,2021-W19,143,ERVISS
hospital admissions,EE,2021-05-09,2021-W18,197,ERVISS
hospital admissions,EE,2021-05-02,2021-W17,217,ERVISS
hospital admissions,EE,2021-04-25,2021-W16,266,ERVISS
hospital admissions,EE,2021-04-18,2021-W15,297,ERVISS
hospital admissions,EE,2021-04-11,2021-W14,395,ERVISS
hospital admissions,EE,2021-03-28,2021-W12,570,ERVISS
hospital admissions,EE,2021-03-21,2021-W11,554,ERVISS
hospital admissions,EE,2021-03-14,2021-W10,570,ERVISS
hospital admissions,EE,2021-03-07,2021-W09,546,ERVISS
hospital admissions,EE,2021-02-28,2021-W08,412,ERVISS
hospital admissions,EE,2021-02-21,2021-W07,370,ERVISS
hospital admissions,EE,2021-02-14,2021-W06,365,ERVISS
hospital admissions,EE,2021-02-07,2021-W05,324,ERVISS
hospital admissions,EE,2021-01-31,2021-W04,298,ERVISS
hospital admissions,EE,2021-01-24,2021-W03,295,ERVISS
hospital admissions,EE,2021-01-17,2021-W02,298,ERVISS
hospital admissions,EE,2021-01-10,2021-W01,277,ERVISS
hospital admissions,EE,2021-01-03,2020-W53,283,ERVISS
hospital admissions,EE,2020-12-27,2020-W52,274,ERVISS
hospital admissions,EE,2020-12-20,2020-W51,243,ERVISS
hospital admissions,EE,2020-12-13,2020-W50,187,ERVISS
hospital admissions,EE,2020-12-06,2020-W49,191,ERVISS
hospital admissions,EE,2020-11-29,2020-W48,157,ERVISS
hospital admissions,EE,2020-11-22,2020-W47,128,ERVISS
hospital admissions,EE,2020-11-15,2020-W46,60,ERVISS
hospital admissions,EE,2020-11-08,2020-W45,43,ERVISS
hospital admissions,EE,2020-11-01,2020-W44,32,ERVISS
hospital admissions,EE,2020-10-25,2020-W43,18,ERVISS
hospital admissions,EE,2020-10-18,2020-W42,21,ERVISS
hospital admissions,EE,2020-10-11,2020-W41,15,ERVISS
hospital admissions,EE,2020-10-04,2020-W40,30,ERVISS
hospital admissions,EE,2020-09-27,2020-W39,33,ERVISS
hospital admissions,EE,2020-09-20,2020-W38,27,ERVISS
hospital admissions,EE,2020-09-13,2020-W37,12,ERVISS
hospital admissions,EE,2020-09-06,2020-W36,5,ERVISS
hospital admissions,EE,2020-08-30,2020-W35,9,ERVISS
hospital admissions,EE,2020-08-23,2020-W34,8,ERVISS
hospital admissions,EE,2020-08-16,2020-W33,3,ERVISS
hospital admissions,EE,2020-08-09,2020-W32,5,ERVISS
hospital admissions,EE,2020-08-02,2020-W31,2,ERVISS
hospital admissions,EE,2020-07-26,2020-W30,1,ERVISS
hospital admissions,EE,2020-07-19,2020-W29,0,ERVISS
hospital admissions,EE,2020-07-12,2020-W28,2,ERVISS
hospital admissions,EE,2020-07-05,2020-W27,1,ERVISS
hospital admissions,EE,2020-06-28,2020-W26,2,ERVISS
hospital admissions,FI,2022-10-09,2022-W40,2,ERVISS
hospital admissions,FI,2022-09-25,2022-W38,1,ERVISS
hospital admissions,FI,2022-09-18,2022-W37,1,ERVISS
hospital admissions,FI,2022-08-21,2022-W33,5,ERVISS
hospital admissions,FI,2022-08-07,2022-W31,1,ERVISS
hospital admissions,FI,2022-07-31,2022-W30,1,ERVISS
hospital admissions,FI,2022-06-26,2022-W25,1,ERVISS
hospital admissions,FI,2022-06-12,2022-W23,1,ERVISS
hospital admissions,FI,2022-05-01,2022-W17,3,ERVISS
hospital admissions,FI,2022-04-24,2022-W16,2,ERVISS
hospital admissions,FI,2022-04-17,2022-W15,4,ERVISS
hospital admissions,FI,2022-04-10,2022-W14,12,ERVISS
hospital admissions,FI,2022-04-03,2022-W13,4,ERVISS
hospital admissions,FI,2022-03-27,2022-W12,4,ERVISS
hospital admissions,FI,2022-03-20,2022-W11,14,ERVISS
hospital admissions,FI,2022-03-13,2022-W10,8,ERVISS
hospital admissions,FI,2022-03-06,2022-W09,12,ERVISS
hospital admissions,FI,2022-02-27,2022-W08,12,ERVISS
hospital admissions,FI,2022-02-20,2022-W07,13,ERVISS
hospital admissions,FI,2022-02-13,2022-W06,7,ERVISS
hospital admissions,FI,2022-02-06,2022-W05,18,ERVISS
hospital admissions,FI,2022-01-30,2022-W04,4,ERVISS
hospital admissions,FI,2022-01-23,2022-W03,4,ERVISS
hospital admissions,FI,2022-01-16,2022-W02,38,ERVISS
hospital admissions,FI,2022-01-09,2022-W01,112,ERVISS
hospital admissions,FI,2022-01-02,2021-W52,130,ERVISS
hospital admissions,FI,2021-12-26,2021-W51,71,ERVISS
hospital admissions,FI,2021-12-19,2021-W50,73,ERVISS
hospital admissions,FI,2021-12-12,2021-W49,84,ERVISS
hospital admissions,FI,2021-12-05,2021-W48,81,ERVISS
hospital admissions,FI,2021-11-28,2021-W47,84,ERVISS
hospital admissions,FI,2021-11-21,2021-W46,90,ERVISS
hospital admissions,FI,2021-11-14,2021-W45,92,ERVISS
hospital admissions,FI,2021-11-07,2021-W44,99,ERVISS
hospital admissions,FI,2021-10-31,2021-W43,75,ERVISS
hospital admissions,FI,2021-10-24,2021-W42,48,ERVISS
hospital admissions,FI,2021-10-17,2021-W41,76,ERVISS
hospital admissions,FI,2021-10-10,2021-W40,67,ERVISS
hospital admissions,FI,2021-10-03,2021-W39,49,ERVISS
hospital admissions,FI,2021-09-26,2021-W38,30,ERVISS
hospital admissions,FI,2021-09-19,2021-W37,22,ERVISS
hospital admissions,FI,2021-09-12,2021-W36,33,ERVISS
hospital admissions,FI,2021-09-05,2021-W35,56,ERVISS
hospital admissions,FI,2021-08-29,2021-W34,49,ERVISS
hospital admissions,FI,2021-08-22,2021-W33,35,ERVISS
hospital admissions,FI,2021-08-15,2021-W32,40,ERVISS
hospital admissions,FI,2021-08-08,2021-W31,45,ERVISS
hospital admissions,FI,2021-08-01,2021-W30,68,ERVISS
hospital admissions,FI,2021-07-25,2021-W29,49,ERVISS
hospital admissions,FI,2021-07-18,2021-W28,15,ERVISS
hospital admissions,FI,2021-07-11,2021-W27,25,ERVISS
hospital admissions,FI,2021-07-04,2021-W26,17,ERVISS
hospital admissions,FI,2021-06-27,2021-W25,12,ERVISS
hospital admissions,FI,2021-06-20,2021-W24,15,ERVISS
hospital admissions,FI,2021-06-13,2021-W23,6,ERVISS
hospital admissions,FI,2021-06-06,2021-W22,15,ERVISS
hospital admissions,FI,2021-05-30,2021-W21,24,ERVISS
hospital admissions,FI,2021-05-23,2021-W20,31,ERVISS
hospital admissions,FI,2021-05-16,2021-W19,41,ERVISS
hospital admissions,FI,2021-05-09,2021-W18,29,ERVISS
hospital admissions,FI,2021-05-02,2021-W17,56,ERVISS
hospital admissions,FI,2021-04-25,2021-W16,39,ERVISS
hospital admissions,FI,2021-04-18,2021-W15,68,ERVISS
hospital admissions,FI,2021-04-11,2021-W14,65,ERVISS
hospital admissions,FI,2021-04-04,2021-W13,78,ERVISS
hospital admissions,FI,2021-03-28,2021-W12,113,ERVISS
hospital admissions,FI,2021-03-21,2021-W11,96,ERVISS
hospital admissions,FI,2021-03-14,2021-W10,126,ERVISS
hospital admissions,FI,2021-03-07,2021-W09,139,ERVISS
hospital admissions,FI,2021-02-28,2021-W08,124,ERVISS
hospital admissions,FI,2021-02-21,2021-W07,102,ERVISS
hospital admissions,FI,2021-02-14,2021-W06,78,ERVISS
hospital admissions,FI,2021-02-07,2021-W05,48,ERVISS
hospital admissions,FI,2021-01-31,2021-W04,63,ERVISS
hospital admissions,FI,2021-01-24,2021-W03,54,ERVISS
hospital admissions,FI,2021-01-17,2021-W02,72,ERVISS
hospital admissions,FI,2021-01-10,2021-W01,69,ERVISS
hospital admissions,FI,2021-01-03,2020-W53,70,ERVISS
hospital admissions,FI,2020-12-27,2020-W52,73,ERVISS
hospital admissions,FI,2020-12-20,2020-W51,89,ERVISS
hospital admissions,FI,2020-12-13,2020-W50,129,ERVISS
hospital admissions,FI,2020-12-06,2020-W49,122,ERVISS
hospital admissions,FI,2020-11-29,2020-W48,100,ERVISS
hospital admissions,FI,2020-11-22,2020-W47,115,ERVISS
hospital admissions,FI,2020-11-15,2020-W46,66,ERVISS
hospital admissions,FI,2020-11-08,2020-W45,46,ERVISS
hospital admissions,FI,2020-11-01,2020-W44,42,ERVISS
hospital admissions,FI,2020-10-25,2020-W43,35,ERVISS
hospital admissions,FI,2020-10-18,2020-W42,45,ERVISS
hospital admissions,FI,2020-10-11,2020-W41,28,ERVISS
hospital admissions,FI,2020-10-04,2020-W40,31,ERVISS
hospital admissions,FI,2020-09-27,2020-W39,15,ERVISS
hospital admissions,FI,2020-09-20,2020-W38,9,ERVISS
hospital admissions,FI,2020-09-13,2020-W37,15,ERVISS
hospital admissions,FI,2020-09-06,2020-W36,7,ERVISS
hospital admissions,FI,2020-08-30,2020-W35,2,ERVISS
hospital admissions,FI,2020-08-23,2020-W34,11,ERVISS
hospital admissions,FI,2020-08-16,2020-W33,9,ERVISS
hospital admissions,FI,2020-08-09,2020-W32,5,ERVISS
hospital admissions,FI,2020-08-02,2020-W31,6,ERVISS
hospital admissions,FI,2020-07-26,2020-W30,3,ERVISS
hospital admissions,FI,2020-07-19,2020-W29,3,ERVISS
hospital admissions,FI,2020-07-12,2020-W28,3,ERVISS
hospital admissions,FI,2020-07-05,2020-W27,5,ERVISS
hospital admissions,FI,2020-06-28,2020-W26,3,ERVISS
hospital admissions,FI,2020-06-21,2020-W25,9,ERVISS
hospital admissions,FR,2025-03-16,2025-W11,1,ERVISS
hospital admissions,FR,2025-03-09,2025-W10,1,ERVISS
hospital admissions,FR,2025-03-02,2025-W09,3,ERVISS
hospital admissions,FR,2025-02-23,2025-W08,1,ERVISS
hospital admissions,FR,2025-02-16,2025-W07,5,ERVISS
hospital admissions,FR,2025-02-09,2025-W06,10,ERVISS
hospital admissions,FR,2025-02-02,2025-W05,5,ERVISS
hospital admissions,FR,2025-01-26,2025-W04,11,ERVISS
hospital admissions,FR,2025-01-19,2025-W03,8,ERVISS
hospital admissions,FR,2025-01-12,2025-W02,9,ERVISS
hospital admissions,FR,2025-01-05,2025-W01,25,ERVISS
hospital admissions,FR,2024-12-29,2024-W52,15,ERVISS
hospital admissions,FR,2024-12-22,2024-W51,16,ERVISS
hospital admissions,FR,2024-12-15,2024-W50,12,ERVISS
hospital admissions,FR,2024-12-08,2024-W49,12,ERVISS
hospital admissions,FR,2024-12-01,2024-W48,16,ERVISS
hospital admissions,FR,2024-11-24,2024-W47,18,ERVISS
hospital admissions,FR,2024-11-17,2024-W46,12,ERVISS
hospital admissions,FR,2024-11-10,2024-W45,18,ERVISS
hospital admissions,FR,2024-11-03,2024-W44,19,ERVISS
hospital admissions,FR,2024-10-27,2024-W43,28,ERVISS
hospital admissions,FR,2024-10-20,2024-W42,27,ERVISS
hospital admissions,FR,2024-10-13,2024-W41,24,ERVISS
hospital admissions,FR,2024-10-06,2024-W40,37,ERVISS
hospital admissions,FR,2024-09-29,2024-W39,6,ERVISS
hospital admissions,FR,2024-09-15,2024-W37,1,ERVISS
hospital admissions,FR,2024-03-31,2024-W13,1,ERVISS
hospital admissions,FR,2024-03-24,2024-W12,3,ERVISS
hospital admissions,FR,2024-03-17,2024-W11,4,ERVISS
hospital admissions,FR,2024-03-10,2024-W10,2,ERVISS
hospital admissions,FR,2024-03-03,2024-W09,3,ERVISS
hospital admissions,FR,2024-02-25,2024-W08,7,ERVISS
hospital admissions,FR,2024-02-18,2024-W07,8,ERVISS
hospital admissions,FR,2024-02-11,2024-W06,15,ERVISS
hospital admissions,FR,2024-02-04,2024-W05,12,ERVISS
hospital admissions,FR,2024-01-28,2024-W04,15,ERVISS
hospital admissions,FR,2024-01-21,2024-W03,22,ERVISS
hospital admissions,FR,2024-01-14,2024-W02,30,ERVISS
hospital admissions,FR,2024-01-07,2024-W01,52,ERVISS
hospital admissions,FR,2023-12-31,2023-W52,45,ERVISS
hospital admissions,FR,2023-12-24,2023-W51,48,ERVISS
hospital admissions,FR,2023-12-17,2023-W50,56,ERVISS
hospital admissions,FR,2023-12-10,2023-W49,47,ERVISS
hospital admissions,FR,2023-12-03,2023-W48,48,ERVISS
hospital admissions,FR,2023-11-26,2023-W47,49,ERVISS
hospital admissions,FR,2023-11-19,2023-W46,33,ERVISS
hospital admissions,FR,2023-11-12,2023-W45,22,ERVISS
hospital admissions,FR,2023-11-05,2023-W44,32,ERVISS
hospital admissions,FR,2023-10-29,2023-W43,29,ERVISS
hospital admissions,FR,2023-10-22,2023-W42,43,ERVISS
hospital admissions,FR,2023-10-15,2023-W41,33,ERVISS
hospital admissions,FR,2023-10-08,2023-W40,37,ERVISS
hospital admissions,FR,2023-10-01,2023-W39,18,ERVISS
hospital admissions,FR,2023-09-24,2023-W38,13,ERVISS
hospital admissions,FR,2023-09-17,2023-W37,8,ERVISS
hospital admissions,FR,2023-09-10,2023-W36,1,ERVISS
hospital admissions,FR,2023-09-03,2023-W35,3,ERVISS
hospital admissions,FR,2023-08-27,2023-W34,2,ERVISS
hospital admissions,FR,2023-07-16,2023-W28,1,ERVISS
hospital admissions,FR,2023-07-02,2023-W26,1,ERVISS
hospital admissions,FR,2023-06-25,2023-W25,475,ERVISS
hospital admissions,FR,2023-06-18,2023-W24,546,ERVISS
hospital admissions,FR,2023-06-11,2023-W23,844,ERVISS
hospital admissions,FR,2023-06-04,2023-W22,989,ERVISS
hospital admissions,FR,2023-05-28,2023-W21,1253,ERVISS
hospital admissions,FR,2023-05-21,2023-W20,1195,ERVISS
hospital admissions,FR,2023-05-14,2023-W19,1469,ERVISS
hospital admissions,FR,2023-05-07,2023-W18,2202,ERVISS
hospital admissions,FR,2023-04-30,2023-W17,2774,ERVISS
hospital admissions,FR,2023-04-23,2023-W16,3153,ERVISS
